ID,Is_Lead
VBENBARO,0.09771998723819139
CCMEWNKY,0.923275589995175
VK3KGA9M,0.13091859304048084
TT8RPZVC,0.038835778463215856
SHQZEYTZ,0.04107934841032727
MZZAQMPT,0.16778195245200145
Y88TW36I,0.17524140006170186
3UGOAQNU,0.10788660184282675
VVUKMUJT,0.9973131289212761
9R363ZXS,0.28178909334832475
BLISM6JE,0.10672493628833317
CH8S7JK7,0.39348516988695353
EAHDPXEJ,0.9110623371047556
BNUK9PRF,0.4653939312759753
GP2PG6FJ,0.10070291807817253
WNQCSN8A,0.07501360803885142
32DN4YVZ,0.6156110930950172
GXAMDANM,0.10223864731272074
MXETLUP4,0.12722006949567827
MPXK6TVE,0.9195352524830444
LBSIME2K,0.27894723181620984
D6ORJTM6,0.0962367168461131
HGDIBAKA,0.8922028451017961
UUZYL9DZ,0.6614414123612073
AUGE3VWK,0.10753230636151925
MX7GOX6Q,0.18851548574063665
TQN6K35W,0.09519455627743116
QQDRMQQN,0.6463920740141955
UP6GC6F4,0.08486121142680206
BMHBUVHB,0.7431037181879299
KGLDW86A,0.2813119167956427
FQEOMOP4,0.21673604284366998
DYWM5MEU,0.3237262600319214
DXHGXV8F,0.11824950858889308
AVFBFQKC,0.30797490086455204
DBIDKYMV,0.23770032732527815
KYZHMEBY,0.4136790391932039
SSFEBUGF,0.10879367330419923
MGJTAG8X,0.6533667517478892
MP6BERDO,0.28007452960344964
GXZ8ED68,0.09868404665209081
ICTFGWQR,0.7608012600765433
EAYHTRKH,0.044259561734725915
6FN97QLQ,0.15495292726408033
3H5MZDDW,0.5346872183312614
2DXZZWSN,0.06015639088974754
MM4QIRE5,0.13354356827928707
HJWVYXUA,0.29733838165516013
RBRSJUP3,0.8948024641723056
YFRQKGXW,0.5746413767983249
N3SADEBV,0.08301094895456018
G2A2YYXY,0.07497369842025134
XMGA3WT3,0.0989459279272373
KVZQPSGI,0.29416050723606074
UAKARBBG,0.08428551156061251
WYKKL85Z,0.33972942115029
GHNYYGRR,0.2086288099659003
UBAJANWT,0.09811501193224045
LSARSF7U,0.031506335975287195
4CNSJVVR,0.4050477874818215
JRHJSWYO,0.4318547268048046
FHZ8SVVI,0.1259174402988025
JUIRE47M,0.9249079602857598
GDIVN2GL,0.09735057075658804
WMF3DYE3,0.8937749712977423
MAQEHEWK,0.3106383347840316
2W8DLKFU,0.10958958086066414
AKGRML6H,0.20025058472548934
B7WUUGCY,0.08846630171020542
TLJOYATM,0.5854270758307585
UH6ZDM3W,0.9318713595155408
7IP5SSRR,0.8547440879165741
PV85PMEB,0.6574463494436809
FGDOY4NI,0.20121799466434429
7YYIXJQE,0.11530787840040475
BHW42XPW,0.0865485589203728
3PKEEAT4,0.46162044425634274
ACFPZ3LM,0.10240120857536113
6GORGNYN,0.8977863561143238
AEPQTMJK,0.4067152440770444
S6FNZFKK,0.09950849782958386
JTYNEKRQ,0.7923859790842184
GPXDPHHC,0.10355075815257209
O8TMKNNB,0.1027080721663777
XSQVHKYG,0.11024693155514358
MJ3CZRAE,0.03866333038237913
3NSQEYBJ,0.6131567639889949
SXVBASGH,0.09676665021710991
5ZIGZYSS,0.0865967026442194
FQSHBCUT,0.5219739208531258
MU45XUBP,0.09338938139564865
BVULDPBI,0.12775898490450066
82GRNPFG,0.8878205611654867
KKBNELBF,0.0775280649222668
HXQGBDGY,0.09245591648970694
28HDZICG,0.7189602327911407
GHBPKPJC,0.09480682179994472
FDWZFSSC,0.9127194302434443
FWTIWZF3,0.10106277736016853
JYMHVPMY,0.07666427443698057
AHUDO2T6,0.9021506446935019
ACDHABS3,0.39847363840833827
5NTYJJDV,0.11206334902749011
2M4VPY4V,0.16858811356485584
KAHP9XLF,0.1611750325375104
YRLEWZFQ,0.18028761233841475
JZWVLXHJ,0.32035619236662355
JZZSXUKT,0.4369943239532138
93RURE2J,0.9275203361079815
4RNB6FDV,0.4150065070443144
27E7HMMG,0.15127474544556674
2QEFQQWN,0.09526068902196633
DDTCD2XI,0.16102189349411852
VGVEYSEG,0.8871546783439872
WCXVE7RK,0.09643882812097762
RTN4R3UE,0.07943167086998319
K2PVS4RB,0.08877878690515677
Q36J686Z,0.1729269972072714
NWKHMEOF,0.24146118568718763
PVJYQQGT,0.4604144353784709
GPUMRNWC,0.09987232462061488
LXHCDSVH,0.28858177566876386
BNIUPSVK,0.14720803597436613
FW3QI3WW,0.1309418911067038
IEEUGXMY,0.9178474256412745
FVVXDLBO,0.10709807904001896
UC2JJB6Y,0.14966622999527984
3WPAHP52,0.6720229281919124
HDTCJJOE,0.6956124552142866
UCSB9GKK,0.12320387808750628
HANBFYTH,0.20178264232804205
FLUU2HNV,0.10474743832972785
64PIYWDJ,0.3652511785832181
9AHNH8ZX,0.9234948717716078
KLHUI2SE,0.11133329866900132
